Day,High,Low,High,Low,High,Phase,Sunrise,Sunset,Moonrise,Moonset
Wed 01,,5:32 AM SAST 0.94 m,11:44 AM SAST 1.26 m,6:27 PM SAST 0.83 m,,,6:33 AM SAST,7:23 PM SAST,3:58 PM SAST,12:41 AM SAST
Thu 02,12:52 AM SAST 1.30 m,7:03 AM SAST 0.86 m,1:02 PM SAST 1.33 m,7:22 PM SAST 0.74 m,,,6:34 AM SAST,7:21 PM SAST,4:46 PM SAST,1:32 AM SAST
Fri 03,1:39 AM SAST 1.41 m,7:49 AM SAST 0.76 m,1:46 PM SAST 1.42 m,7:58 PM SAST 0.64 m,,,6:35 AM SAST,7:20 PM SAST,5:29 PM SAST,2:27 AM SAST
Sat 04,2:13 AM SAST 1.52 m,8:21 AM SAST 0.66 m,2:20 PM SAST 1.51 m,8:27 PM SAST 0.56 m,,,6:36 AM SAST,7:19 PM SAST,6:06 PM SAST,3:25 AM SAST
Sun 05,2:41 AM SAST 1.62 m,8:49 AM SAST 0.57 m,2:49 PM SAST 1.59 m,8:54 PM SAST 0.48 m,,,6:37 AM SAST,7:17 PM SAST,6:38 PM SAST,4:23 AM SAST
Mon 06,3:07 AM SAST 1.70 m,9:14 AM SAST 0.49 m,3:16 PM SAST 1.66 m,9:19 PM SAST 0.43 m,,,6:38 AM SAST,7:16 PM SAST,7:06 PM SAST,5:22 AM SAST
Tue 07,3:32 AM SAST 1.77 m,9:39 AM SAST 0.42 m,3:43 PM SAST 1.71 m,9:44 PM SAST 0.39 m,,Full Moon,6:38 AM SAST,7:15 PM SAST,7:32 PM SAST,6:19 AM SAST
Wed 08,3:57 AM SAST 1.81 m,10:05 AM SAST 0.38 m,4:10 PM SAST 1.73 m,10:10 PM SAST 0.38 m,,,6:39 AM SAST,7:14 PM SAST,7:57 PM SAST,7:17 AM SAST
Thu 09,4:22 AM SAST 1.83 m,10:31 AM SAST 0.36 m,4:37 PM SAST 1.73 m,10:36 PM SAST 0.39 m,,,6:40 AM SAST,7:12 PM SAST,8:22 PM SAST,8:15 AM SAST
